[2023-10-04 21:19:28,741] Itteratie:93
[2023-10-04 21:19:31,943] Itteratie:94
[2023-10-04 21:19:31,946] Oplossing:50.3
[2023-10-04 21:19:35,123] Itteratie:95
[2023-10-04 21:19:38,915] Itteratie:96
[2023-10-04 21:19:42,095] Itteratie:97
[2023-10-04 21:19:42,095] Oplossing:49.39999999999999
[2023-10-04 21:19:45,275] Itteratie:98
[2023-10-04 21:19:48,488] Itteratie:99
[2023-10-04 21:19:48,491] Oplossing:49.099999999999994
[2023-10-04 21:19:51,697] Itteratie:100
[2023-10-04 21:19:54,855] Itteratie:101
[2023-10-04 21:19:58,044] Itteratie:102
[2023-10-04 21:20:02,473] Itteratie:103
[2023-10-04 21:20:05,666] Itteratie:104
[2023-10-04 21:20:08,859] Itteratie:105
[2023-10-04 21:20:12,051] Itteratie:106
[2023-10-04 21:20:15,936] Itteratie:107
[2023-10-04 21:20:19,096] Itteratie:108
[2023-10-04 21:20:22,259] Itteratie:109
[2023-10-04 21:20:22,275] Oplossing:48.8
[2023-10-04 21:20:25,456] Itteratie:110
[2023-10-04 21:20:28,615] Itteratie:111
[2023-10-04 21:20:31,788] Itteratie:112
[2023-10-04 21:20:34,963] Itteratie:113
[2023-10-04 21:20:34,979] Oplossing:48.15
[2023-10-04 21:20:38,149] Itteratie:114
[2023-10-04 21:20:41,334] Itteratie:115
[2023-10-04 21:20:44,483] Itteratie:116
[2023-10-04 21:20:49,314] Itteratie:117
[2023-10-04 21:20:52,499] Itteratie:118
[2023-10-04 21:20:56,439] Itteratie:119
[2023-10-04 21:20:59,627] Itteratie:120
[2023-10-04 21:21:02,793] Itteratie:121
[2023-10-04 21:21:05,978] Itteratie:122
[2023-10-04 21:21:09,154] Itteratie:123
[2023-10-04 21:21:09,154] Oplossing:47.25
[2023-10-04 21:21:12,312] Itteratie:124
[2023-10-04 21:21:15,532] Itteratie:125
[2023-10-04 21:21:18,760] Itteratie:126
[2023-10-04 21:21:21,979] Itteratie:127
[2023-10-04 21:21:25,191] Itteratie:128
[2023-10-04 21:21:28,357] Itteratie:129
[2023-10-04 21:21:31,501] Itteratie:130
[2023-10-04 21:21:31,517] Oplossing:47.0
[2023-10-04 21:21:34,688] Itteratie:131
[2023-10-04 21:21:34,688] Oplossing:46.6
[2023-10-04 21:21:37,870] Itteratie:132
[2023-10-04 21:21:41,901] Itteratie:133
[2023-10-04 21:21:45,093] Itteratie:134
[2023-10-04 21:21:48,264] Itteratie:135
[2023-10-04 21:21:51,448] Itteratie:136
[2023-10-04 21:21:54,626] Itteratie:137
[2023-10-04 21:21:57,824] Itteratie:138
[2023-10-04 21:22:01,007] Itteratie:139
[2023-10-04 21:22:04,184] Itteratie:140
[2023-10-04 21:22:07,375] Itteratie:141
[2023-10-04 21:22:07,375] Oplossing:46.4
[2023-10-04 21:22:10,558] Itteratie:142
[2023-10-04 21:22:13,728] Itteratie:143
[2023-10-04 21:22:16,905] Itteratie:144
[2023-10-04 21:22:16,905] Oplossing:46.0
[2023-10-04 21:22:20,078] Itteratie:145
[2023-10-04 21:22:23,246] Itteratie:146
[2023-10-04 21:22:26,410] Itteratie:147
[2023-10-04 21:22:29,593] Itteratie:148
[2023-10-04 21:22:29,593] Oplossing:45.699999999999996
[2023-10-04 21:22:33,704] Itteratie:149
[2023-10-04 21:22:36,858] Itteratie:150
[2023-10-04 21:22:40,024] Itteratie:151
[2023-10-04 21:22:43,196] Itteratie:152
[2023-10-04 21:22:46,356] Itteratie:153
[2023-10-04 21:22:49,495] Itteratie:154
[2023-10-04 21:22:52,651] Itteratie:155
[2023-10-04 21:22:55,828] Itteratie:156
[2023-10-04 21:22:58,997] Itteratie:157
[2023-10-04 21:23:02,165] Itteratie:158
[2023-10-04 21:23:05,344] Itteratie:159
[2023-10-04 21:23:08,504] Itteratie:160
[2023-10-04 21:23:11,658] Itteratie:161
[2023-10-04 21:23:11,658] Oplossing:45.65
[2023-10-04 21:23:14,861] Itteratie:162
[2023-10-04 21:23:18,022] Itteratie:163
[2023-10-04 21:23:21,215] Itteratie:164
[2023-10-04 21:23:21,215] Oplossing:45.3
[2023-10-04 21:23:24,423] Itteratie:165
[2023-10-04 21:23:27,598] Itteratie:166
[2023-10-04 21:23:31,793] Itteratie:167
[2023-10-04 21:23:34,989] Itteratie:168
[2023-10-04 21:23:34,989] Oplossing:45.0
[2023-10-04 21:23:38,148] Itteratie:169
[2023-10-04 21:23:41,311] Itteratie:170
[2023-10-04 21:23:44,489] Itteratie:171
[2023-10-04 21:23:47,642] Itteratie:172
[2023-10-04 21:23:50,791] Itteratie:173
[2023-10-04 21:23:53,945] Itteratie:174
[2023-10-04 21:23:57,105] Itteratie:175
[2023-10-04 21:24:00,264] Itteratie:176
[2023-10-04 21:24:00,264] Oplossing:44.99999999999999
[2023-10-04 21:24:03,448] Itteratie:177
[2023-10-04 21:24:06,609] Itteratie:178
[2023-10-04 21:24:09,775] Itteratie:179
[2023-10-04 21:24:12,967] Itteratie:180
[2023-10-04 21:24:16,165] Itteratie:181
[2023-10-04 21:24:19,342] Itteratie:182
[2023-10-04 21:24:22,559] Itteratie:183
[2023-10-04 21:24:25,736] Itteratie:184
[2023-10-04 21:24:28,903] Itteratie:185
[2023-10-04 21:24:32,066] Itteratie:186
[2023-10-04 21:24:36,419] Itteratie:187
[2023-10-04 21:24:39,585] Itteratie:188
[2023-10-04 21:24:42,720] Itteratie:189
[2023-10-04 21:24:45,877] Itteratie:190
[2023-10-04 21:24:49,049] Itteratie:191
[2023-10-04 21:24:49,049] Oplossing:44.8
[2023-10-04 21:24:52,210] Itteratie:192
[2023-10-04 21:24:55,383] Itteratie:193
[2023-10-04 21:24:58,528] Itteratie:194
[2023-10-04 21:25:01,709] Itteratie:195
[2023-10-04 21:25:04,887] Itteratie:196
[2023-10-04 21:25:08,018] Itteratie:197
[2023-10-04 21:25:11,176] Itteratie:198
[2023-10-04 21:25:14,348] Itteratie:199
[2023-10-04 21:25:17,510] Itteratie:200
[2023-10-04 21:25:20,656] Itteratie:201
[2023-10-04 21:25:23,822] Itteratie:202
[2023-10-04 21:25:26,971] Itteratie:203
[2023-10-04 21:25:30,120] Itteratie:204
[2023-10-04 21:25:33,288] Itteratie:205
[2023-10-04 21:25:36,452] Itteratie:206
[2023-10-04 21:25:39,674] Itteratie:207
[2023-10-04 21:25:42,837] Itteratie:208
[2023-10-04 21:25:47,597] Itteratie:209
[2023-10-04 21:25:50,782] Itteratie:210
[2023-10-04 21:25:53,949] Itteratie:211
[2023-10-04 21:25:57,107] Itteratie:212
[2023-10-04 21:25:57,123] Oplossing:44.75
[2023-10-04 21:26:00,295] Itteratie:213
[2023-10-04 21:26:00,295] Oplossing:44.449999999999996
[2023-10-04 21:26:03,466] Itteratie:214
[2023-10-04 21:26:03,466] Oplossing:44.199999999999996
[2023-10-04 21:26:06,649] Itteratie:215
[2023-10-04 21:26:09,811] Itteratie:216
[2023-10-04 21:26:12,996] Itteratie:217
[2023-10-04 21:26:16,160] Itteratie:218
[2023-10-04 21:26:19,344] Itteratie:219
[2023-10-04 21:26:22,490] Itteratie:220
[2023-10-04 21:26:25,740] Itteratie:221
[2023-10-04 21:26:28,903] Itteratie:222
[2023-10-04 21:26:32,090] Itteratie:223
[2023-10-04 21:26:35,299] Itteratie:224
[2023-10-04 21:26:39,657] Itteratie:225
[2023-10-04 21:26:42,797] Itteratie:226
[2023-10-04 21:26:45,959] Itteratie:227
[2023-10-04 21:26:45,976] Oplossing:44.15
[2023-10-04 21:26:49,193] Itteratie:228
[2023-10-04 21:26:52,352] Itteratie:229
[2023-10-04 21:26:52,352] Oplossing:43.8
[2023-10-04 21:26:55,523] Itteratie:230
[2023-10-04 21:26:58,674] Itteratie:231
[2023-10-04 21:27:01,842] Itteratie:232
[2023-10-04 21:27:06,494] Itteratie:233
[2023-10-04 21:27:09,633] Itteratie:234
[2023-10-04 21:27:12,812] Itteratie:235
[2023-10-04 21:27:16,130] Itteratie:236
[2023-10-04 21:27:19,371] Itteratie:237
[2023-10-04 21:27:19,371] Oplossing:43.449999999999996
[2023-10-04 21:27:22,511] Itteratie:238
[2023-10-04 21:27:26,894] Itteratie:239
[2023-10-04 21:27:26,894] Oplossing:42.9
[2023-10-04 21:27:30,078] Itteratie:240
[2023-10-04 21:27:33,233] Itteratie:241
[2023-10-04 21:27:33,233] Oplossing:42.55
[2023-10-04 21:27:36,414] Itteratie:242
[2023-10-04 21:27:39,566] Itteratie:243
[2023-10-04 21:27:42,744] Itteratie:244
[2023-10-04 21:27:45,881] Itteratie:245
[2023-10-04 21:27:49,069] Itteratie:246
[2023-10-04 21:27:52,223] Itteratie:247
[2023-10-04 21:27:55,379] Itteratie:248
[2023-10-04 21:27:58,535] Itteratie:249
[2023-10-04 21:28:01,716] Itteratie:250
[2023-10-04 21:28:04,869] Itteratie:251
[2023-10-04 21:28:08,053] Itteratie:252
[2023-10-04 21:28:11,218] Itteratie:253
[2023-10-04 21:28:14,373] Itteratie:254
[2023-10-04 21:28:17,537] Itteratie:255
[2023-10-04 21:28:20,669] Itteratie:256
[2023-10-04 21:28:23,840] Itteratie:257
[2023-10-04 21:28:27,015] Itteratie:258
[2023-10-04 21:28:30,140] Itteratie:259
[2023-10-04 21:28:34,977] Itteratie:260
[2023-10-04 21:28:38,143] Itteratie:261
[2023-10-04 21:28:41,304] Itteratie:262
[2023-10-04 21:28:44,499] Itteratie:263
[2023-10-04 21:28:47,701] Itteratie:264
[2023-10-04 21:28:50,867] Itteratie:265
[2023-10-04 21:28:54,035] Itteratie:266
[2023-10-04 21:28:57,206] Itteratie:267
[2023-10-04 21:29:00,398] Itteratie:268
[2023-10-04 21:29:03,723] Itteratie:269
[2023-10-04 21:29:07,163] Itteratie:270
[2023-10-04 21:29:10,320] Itteratie:271
[2023-10-04 21:29:13,476] Itteratie:272
[2023-10-04 21:29:16,686] Itteratie:273
[2023-10-04 21:29:20,009] Itteratie:274
[2023-10-04 21:29:23,342] Itteratie:275
[2023-10-04 21:29:26,635] Itteratie:276
[2023-10-04 21:29:29,795] Itteratie:277
[2023-10-04 21:29:32,979] Itteratie:278
[2023-10-04 21:29:36,187] Itteratie:279
[2023-10-04 21:29:39,346] Itteratie:280
[2023-10-04 21:29:42,499] Itteratie:281
[2023-10-04 21:29:45,757] Itteratie:282
[2023-10-04 21:29:49,144] Itteratie:283
[2023-10-04 21:29:52,319] Itteratie:284
[2023-10-04 21:29:55,512] Itteratie:285
[2023-10-04 21:29:58,697] Itteratie:286
[2023-10-04 21:30:01,859] Itteratie:287
[2023-10-04 21:30:05,026] Itteratie:288
[2023-10-04 21:30:08,170] Itteratie:289
[2023-10-04 21:30:11,342] Itteratie:290
[2023-10-04 21:30:16,379] Itteratie:291
[2023-10-04 21:30:19,615] Itteratie:292
[2023-10-04 21:30:22,798] Itteratie:293
[2023-10-04 21:30:25,962] Itteratie:294
[2023-10-04 21:30:29,120] Itteratie:295
[2023-10-04 21:30:32,261] Itteratie:296
[2023-10-04 21:30:35,418] Itteratie:297
[2023-10-04 21:30:38,583] Itteratie:298
[2023-10-04 21:30:41,799] Itteratie:299
[2023-10-04 21:30:44,948] Itteratie:300
[2023-10-04 21:30:48,106] Itteratie:301
[2023-10-04 21:30:51,281] Itteratie:302
[2023-10-04 21:30:54,434] Itteratie:303
[2023-10-04 21:30:57,605] Itteratie:304
[2023-10-04 21:30:57,630] Oplossing:42.3
[2023-10-04 21:31:00,821] Itteratie:305
[2023-10-04 21:31:03,982] Itteratie:306
[2023-10-04 21:31:07,134] Itteratie:307
[2023-10-04 21:31:10,283] Itteratie:308
[2023-10-04 21:31:13,409] Itteratie:309
[2023-10-04 21:31:16,573] Itteratie:310
[2023-10-04 21:31:19,741] Itteratie:311
[2023-10-04 21:31:22,888] Itteratie:312
[2023-10-04 21:31:26,056] Itteratie:313
[2023-10-04 21:31:29,219] Itteratie:314
[2023-10-04 21:31:32,387] Itteratie:315
[2023-10-04 21:31:35,559] Itteratie:316
[2023-10-04 21:31:38,732] Itteratie:317
[2023-10-04 21:31:41,868] Itteratie:318
[2023-10-04 21:31:45,041] Itteratie:319
[2023-10-04 21:31:48,214] Itteratie:320
[2023-10-04 21:31:51,408] Itteratie:321
[2023-10-04 21:31:54,578] Itteratie:322
[2023-10-04 21:31:57,741] Itteratie:323
[2023-10-04 21:32:00,897] Itteratie:324
[2023-10-04 21:32:04,078] Itteratie:325
[2023-10-04 21:32:07,221] Itteratie:326
[2023-10-04 21:32:10,374] Itteratie:327
[2023-10-04 21:32:15,559] Itteratie:328
[2023-10-04 21:32:18,743] Itteratie:329
[2023-10-04 21:32:21,921] Itteratie:330
[2023-10-04 21:32:25,079] Itteratie:331
[2023-10-04 21:32:28,226] Itteratie:332
[2023-10-04 21:32:31,393] Itteratie:333
[2023-10-04 21:32:34,526] Itteratie:334
[2023-10-04 21:32:37,646] Itteratie:335
[2023-10-04 21:32:40,826] Itteratie:336
[2023-10-04 21:32:43,997] Itteratie:337
[2023-10-04 21:32:47,174] Itteratie:338
[2023-10-04 21:32:50,335] Itteratie:339
[2023-10-04 21:32:53,481] Itteratie:340
[2023-10-04 21:32:56,651] Itteratie:341
[2023-10-04 21:32:56,652] Oplossing:41.99999999999999
[2023-10-04 21:32:59,841] Itteratie:342
[2023-10-04 21:33:03,009] Itteratie:343
[2023-10-04 21:33:06,137] Itteratie:344
[2023-10-04 21:33:09,286] Itteratie:345
[2023-10-04 21:33:13,651] Itteratie:346
[2023-10-04 21:33:16,808] Itteratie:347
[2023-10-04 21:33:20,072] Itteratie:348
[2023-10-04 21:33:23,407] Itteratie:349
[2023-10-04 21:33:26,608] Itteratie:350
[2023-10-04 21:33:29,829] Itteratie:351
[2023-10-04 21:33:33,014] Itteratie:352
[2023-10-04 21:33:36,171] Itteratie:353
[2023-10-04 21:33:39,337] Itteratie:354
[2023-10-04 21:33:42,486] Itteratie:355
[2023-10-04 21:33:45,659] Itteratie:356
[2023-10-04 21:33:48,834] Itteratie:357
[2023-10-04 21:33:52,006] Itteratie:358
[2023-10-04 21:33:55,165] Itteratie:359
[2023-10-04 21:33:59,574] Itteratie:360
[2023-10-04 21:34:02,707] Itteratie:361
[2023-10-04 21:34:05,863] Itteratie:362
[2023-10-04 21:34:09,046] Itteratie:363
[2023-10-04 21:34:12,210] Itteratie:364
[2023-10-04 21:34:17,635] Itteratie:365
[2023-10-04 21:34:20,763] Itteratie:366
[2023-10-04 21:34:23,908] Itteratie:367
[2023-10-04 21:34:27,067] Itteratie:368
[2023-10-04 21:34:30,228] Itteratie:369
[2023-10-04 21:34:33,388] Itteratie:370
[2023-10-04 21:34:36,556] Itteratie:371
[2023-10-04 21:34:39,720] Itteratie:372
[2023-10-04 21:34:42,877] Itteratie:373
[2023-10-04 21:34:46,255] Itteratie:374
[2023-10-04 21:34:49,464] Itteratie:375
[2023-10-04 21:34:52,618] Itteratie:376
[2023-10-04 21:34:55,782] Itteratie:377
[2023-10-04 21:34:58,950] Itteratie:378
